run_label,angle_deg,candidate_id,source_pdb,source_pdb_exists,source_pdb_size_bytes,xyz_file,xyz_exists,xyz_atom_count,diffraction_npy,diffraction_npy_exists,diffraction_png,diffraction_png_exists,diffraction_json,diffraction_json_exists,radial_csv,radial_csv_exists,radial_q_png,radial_q_png_exists,radial_d_png,radial_d_png_exists,nick_style_comparison_png,nick_style_comparison_png_exists,smoke_grid_size,smoke_grid_limit_mm,smoke_theta_count,smoke_phi_count,smoke_psi_count,smoke_theta_max,smoke_orientation_count,notes
angle27_cand0,27,cand0,inputs/asem_sidechains_20260625/raw/27/cand0/initial.pdb,True,255319,outputs/asem_sidechains_20260625/comparison_smoke/xyz/angle27_cand0.xyz,True,2310,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand0.npy,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand0.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand0.json,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand0_radial.csv,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand0_radial_q.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand0_radial_d.png,True,outputs/asem_sidechains_20260625/comparison_smoke/nick_style_comparisons/angle27_cand0_vs_experimental_nick_style.png,True,33,100,2,4,1,180,8,Coarse side-chain smoke comparison; not final scoring or ranking.
angle27_cand1,27,cand1,inputs/asem_sidechains_20260625/raw/27/cand1/initial.pdb,True,255319,outputs/asem_sidechains_20260625/comparison_smoke/xyz/angle27_cand1.xyz,True,2310,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand1.npy,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand1.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand1.json,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand1_radial.csv,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand1_radial_q.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle27_cand1_radial_d.png,True,outputs/asem_sidechains_20260625/comparison_smoke/nick_style_comparisons/angle27_cand1_vs_experimental_nick_style.png,True,33,100,2,4,1,180,8,Coarse side-chain smoke comparison; not final scoring or ranking.
angle29_cand0,29,cand0,inputs/asem_sidechains_20260625/raw/29/cand0/initial.pdb,True,255319,outputs/asem_sidechains_20260625/comparison_smoke/xyz/angle29_cand0.xyz,True,2310,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle29_cand0.npy,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle29_cand0.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle29_cand0.json,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle29_cand0_radial.csv,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle29_cand0_radial_q.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle29_cand0_radial_d.png,True,outputs/asem_sidechains_20260625/comparison_smoke/nick_style_comparisons/angle29_cand0_vs_experimental_nick_style.png,True,33,100,2,4,1,180,8,Coarse side-chain smoke comparison; not final scoring or ranking.
angle30_cand0,30,cand0,inputs/asem_sidechains_20260625/raw/30/cand0/initial.pdb,True,255319,outputs/asem_sidechains_20260625/comparison_smoke/xyz/angle30_cand0.xyz,True,2310,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle30_cand0.npy,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle30_cand0.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle30_cand0.json,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle30_cand0_radial.csv,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle30_cand0_radial_q.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle30_cand0_radial_d.png,True,outputs/asem_sidechains_20260625/comparison_smoke/nick_style_comparisons/angle30_cand0_vs_experimental_nick_style.png,True,33,100,2,4,1,180,8,Coarse side-chain smoke comparison; not final scoring or ranking.
angle31_cand0,31,cand0,inputs/asem_sidechains_20260625/raw/31/cand0/initial.pdb,True,255319,outputs/asem_sidechains_20260625/comparison_smoke/xyz/angle31_cand0.xyz,True,2310,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle31_cand0.npy,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle31_cand0.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle31_cand0.json,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle31_cand0_radial.csv,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle31_cand0_radial_q.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle31_cand0_radial_d.png,True,outputs/asem_sidechains_20260625/comparison_smoke/nick_style_comparisons/angle31_cand0_vs_experimental_nick_style.png,True,33,100,2,4,1,180,8,Coarse side-chain smoke comparison; not final scoring or ranking.
angle32_cand0,32,cand0,inputs/asem_sidechains_20260625/raw/32/cand0/initial.pdb,True,255319,outputs/asem_sidechains_20260625/comparison_smoke/xyz/angle32_cand0.xyz,True,2310,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle32_cand0.npy,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle32_cand0.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle32_cand0.json,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle32_cand0_radial.csv,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle32_cand0_radial_q.png,True,outputs/asem_sidechains_20260625/comparison_smoke/corrected_diffraction/angle32_cand0_radial_d.png,True,outputs/asem_sidechains_20260625/comparison_smoke/nick_style_comparisons/angle32_cand0_vs_experimental_nick_style.png,True,33,100,2,4,1,180,8,Coarse side-chain smoke comparison; not final scoring or ranking.
