bin_index,q_Ainv,d_A,mean_intensity,intensity_norm,pixel_count
0,0.00403403372418,1557.54407047,8948994047.97,14.2406275865,1
4,0.0363060339248,173.061737346,7245235982.79,11.5294196034,4
6,0.0524416206609,119.81295063,5748374565.77,9.14744841486,4
9,0.0766440797421,81.9787428895,4091947633.02,6.51155895655,4
10,0.0847112486321,74.1717942852,3037118594.45,4.83299850325,8
13,0.108911551431,57.6907153065,1681838206.97,2.67632668407,8
14,0.116977857885,53.7126035712,1490555820.42,2.37193702685,8
16,0.133109671368,47.2030712917,405568928.806,0.645386067395,8
18,0.149240299319,42.1011304308,1295368554.42,2.06133349422,4
19,0.157305123874,39.9426614495,628412897.791,1,12
20,0.165369598238,37.9948029997,336731805.034,0.535844834213,8
23,0.189560740935,33.1460263143,320454911.599,0.509943243886,20
24,0.197623635311,31.7936935898,184200564.993,0.293120280695,8
26,0.21374808683,29.3952820835,88062637.2134,0.140134993287,4
27,0.221809608176,28.3269302843,78735466.7809,0.125292569675,12
28,0.229870636058,27.3335708072,73346772.9131,0.116717484907,8
29,0.237931152593,26.4075773126,38858533.172,0.0618359892176,16
31,0.254050580123,24.7320250327,1633537.46624,0.00259946521147,8
32,0.262109455385,23.9716087234,40518171.5982,0.064476989159,16
33,0.270167747835,23.2566076356,19697950.447,0.0313455540398,16
35,0.286282512914,21.9474994935,22104411.3361,0.0351749803574,8
36,0.294338949869,21.3467681052,5377753.66875,0.00855767551502,8
37,0.302394732666,20.7780911122,38946282.8274,0.0619756261598,20
38,0.310449843489,20.2389707676,39615527.4595,0.0630406021245,8
39,0.318504264529,19.727162261,13366553.2041,0.0212703355565,20
41,0.334610966076,18.7775833556,22177960.2459,0.0352920195049,12
42,0.342663211012,18.336328807,11769812.0228,0.0187294246573,24
43,0.350714695025,17.9153750792,8800490.86416,0.0140043129209,8
44,0.358765400354,17.5133535759,1682629.63456,0.00267758609105,8
45,0.366815309246,17.1290160165,2423745.80937,0.00385693199152,12
46,0.37486440396,16.7612214999,24335973.1323,0.0387260879238,20
47,0.382912666764,16.4089252003,10113411.9486,0.0160935779392,16
48,0.390960079939,16.0711684634,8561155.84998,0.013623456616,8
49,0.399006625774,15.7470701019,4514449.78937,0.00718389104559,16
50,0.407052286571,15.4358187252,747197.072183,0.00118902249589,8
51,0.415097044641,15.1366659635,21798975.2025,0.0346889366516,28
52,0.423140882309,14.8489204657,6145395.90675,0.00977923261658,20
54,0.439225725792,14.3051395631,5509462.64497,0.0087672653829,16
55,0.447266696314,14.0479614489,4186480.03377,0.00666198935204,20
56,0.455306675848,13.7998971693,3328205.29116,0.00529620780042,24
57,0.463345646778,13.5604712181,1360300.28429,0.00216466003335,8
58,0.471383591502,13.3292406025,1914398.31064,0.00304640200316,16
59,0.479420492429,13.1057921103,1600950.33689,0.00254760897257,12
60,0.487456331983,12.8897398493,3284242.55029,0.00522624943224,28
61,0.495491092601,12.6807230261,4189502.95669,0.00666679976082,16
62,0.503524756734,12.4784039377,943168.231227,0.0015008734457,16
63,0.511557306845,12.282466154,2478773.71439,0.00394449847084,16
64,0.519588725413,12.0926128684,3602979.67707,0.00573345914722,20
65,0.527618994931,11.9085653996,6074844.89742,0.00966696405943,28
66,0.535648097905,11.7300618293,3761441.98423,0.00598562186972,24
67,0.543676016858,11.5568557603,6074748.30465,0.00966681035034,8
68,0.551702734327,11.3887151834,3492026.22368,0.00555689775934,24
69,0.559728232864,11.2254214425,1232327.8236,0.00196101612162,20
70,0.567752495035,11.0667682875,2397293.8423,0.00381483870036,32
72,0.583797240629,10.7626156307,3033167.95675,0.00482671181226,28
73,0.591817689266,10.616758203,1148218.15935,0.00182717153545,16
74,0.599836831965,10.4748241061,2284292.87504,0.00363501908231,36
75,0.607854651373,10.3366574443,4041986.10182,0.00643205465073,16
76,0.615871130155,10.2021104733,1620225.98481,0.0025782825122,24
77,0.623886250991,10.0710430743,1483643.49996,0.0023609373792,16
78,0.63189999658,9.94332226806,5177062.37974,0.00823831337317,16
79,0.639912349636,9.81882176638,4092817.63347,0.00651294339734,40
80,0.647923292892,9.69742155609,4546162.20464,0.00723435534284,8
81,0.655932809098,9.57900751423,2101264.26572,0.0033437637469,24
82,0.663940881022,9.46347105107,6654053.47428,0.0105886647102,24
83,0.671947491452,9.35070877875,2994765.52827,0.00476560162721,36
84,0.679952623191,9.24062220349,1718427.99732,0.00273455239916,16
85,0.687956259062,9.1331174394,4843094.51915,0.00770686683258,36
86,0.695958381907,9.02810494208,3478222.83476,0.00553493228255,16
87,0.703958974588,8.9254992606,3482519.43962,0.0055417695147,16
88,0.711958019983,8.8252188062,5592176.94923,0.00889888951817,36
89,0.719955500993,8.7271856365,2979455.3523,0.00474123838447,32
90,0.727951400535,8.63132525408,4558276.5756,0.00725363306772,16
91,0.735945701548,8.53756641823,4122803.80005,0.00656066069704,28
92,0.743938386991,8.4458409689,6509338.51539,0.0103583782864,36
93,0.751929439841,8.35608366193,4660685.06814,0.00741659677026,40
94,0.759918843099,8.26823201483,3271682.78258,0.00520626294286,8
95,0.767906579782,8.18222616215,4171052.95675,0.00663744008345,40
96,0.775892632932,8.09800871988,5798757.92284,0.00922762397658,16
97,0.783876985609,8.01552465824,7430864.27492,0.0118248118411,36
98,0.791859620896,7.93472118211,2043007.36229,0.00325105892872,28
99,0.799840521896,7.85554761878,3838058.82701,0.00610754305092,32
100,0.807819671733,7.77795531235,6827563.57344,0.0108647731411,16
101,0.815797053555,7.70189752439,5004741.5377,0.00796409741953,32
102,0.82377265053,7.62732934036,4072661.2677,0.00648086836222,36
