motif_type,count
GLU-GLU,14
GLU-any,43
backbone_O_to_GLU_sidechain_O,0
GLU_sidechain_O_to_GLU_sidechain_O,0
backbone_N_to_GLU_sidechain_O,0
other_GLU_contact,43
