motif_type,count
GLU-GLU,86
GLU-any,232
backbone_O_to_GLU_sidechain_O,0
GLU_sidechain_O_to_GLU_sidechain_O,0
backbone_N_to_GLU_sidechain_O,0
other_GLU_contact,232
