donor_residue,donor_atom,hydrogen_atom,acceptor_residue,acceptor_atom,donor_acceptor_distance_A,hydrogen_acceptor_distance_A
CYP1,N3,HN3,MEP59,N6,2.755167,1.686364
CYP1,N5,HN5,MEP179,N4,2.678073,1.608883
CYP3,N3,HN3,MEP57,N6,2.756301,1.685193
CYP3,N5,HN5,MEP177,N4,2.677587,1.608355
CYP5,N3,HN3,MEP55,N6,2.756025,1.686132
CYP5,N5,HN5,MEP175,N4,2.678324,1.608480
CYP7,N3,HN3,MEP53,N6,2.755318,1.685160
CYP7,N5,HN5,MEP173,N4,2.678549,1.608923
CYP9,N3,HN3,MEP51,N6,2.754570,1.685198
CYP9,N5,HN5,MEP171,N4,2.678586,1.609355
CYP11,N3,HN3,MEP49,N6,2.754031,1.685119
CYP11,N5,HN5,MEP169,N4,2.677807,1.607410
CYP13,N3,HN3,MEP47,N6,2.755816,1.686526
CYP13,N5,HN5,MEP167,N4,2.679032,1.610275
CYP15,N3,HN3,MEP45,N6,2.754937,1.683833
CYP15,N5,HN5,MEP165,N4,2.678586,1.609314
CYP17,N3,HN3,MEP43,N6,2.755047,1.685160
CYP17,N5,HN5,MEP163,N4,2.679517,1.610479
CYP19,N3,HN3,MEP41,N6,2.755675,1.686017
CYP19,N5,HN5,MEP161,N4,2.678551,1.608924
CYP21,N3,HN3,MEP39,N6,2.752706,1.683346
CYP21,N5,HN5,MEP159,N4,2.678590,1.609316
CYP23,N3,HN3,MEP37,N6,2.755032,1.685145
CYP23,N5,HN5,MEP157,N4,2.677297,1.607412
CYP25,N3,HN3,MEP35,N6,2.756175,1.686015
CYP25,N5,HN5,MEP155,N4,2.678161,1.608039
CYP27,N3,HN3,MEP33,N6,2.754938,1.683833
CYP27,N5,HN5,MEP153,N4,2.678590,1.607316
CYP29,N3,HN3,MEP31,N6,2.756037,1.687135
CYP29,N5,HN5,MEP151,N4,2.678661,1.609634
MEP31,NX1,HX11,CYP29,OC2,2.843046,1.779912
MEP31,NX2,HX21,CYP89,OC6,2.663586,1.601624
MEP31,NX3,HX31,CYP89,OC4,2.764711,1.699908
MEP31,NX3,HX32,CYP29,OC4,2.735194,1.670134
MEP33,NX1,HX11,CYP27,OC2,2.842060,1.777800
MEP33,NX2,HX21,CYP87,OC6,2.665696,1.603015
MEP33,NX3,HX31,CYP87,OC4,2.763347,1.697772
MEP33,NX3,HX32,CYP27,OC4,2.735808,1.670782
MEP35,NX1,HX11,CYP25,OC2,2.842191,1.779599
MEP35,NX2,HX21,CYP85,OC6,2.665307,1.601945
MEP35,NX3,HX31,CYP85,OC4,2.764520,1.699827
MEP35,NX3,HX32,CYP25,OC4,2.734802,1.669016
MEP37,NX1,HX11,CYP23,OC2,2.840980,1.778920
MEP37,NX2,HX21,CYP83,OC6,2.664407,1.601983
MEP37,NX3,HX31,CYP83,OC4,2.763870,1.699094
MEP37,NX3,HX32,CYP23,OC4,2.735270,1.671247
MEP39,NX1,HX11,CYP21,OC2,2.842893,1.779805
MEP39,NX2,HX21,CYP81,OC6,2.664300,1.602385
MEP39,NX3,HX31,CYP81,OC4,2.764689,1.699503
MEP39,NX3,HX32,CYP21,OC4,2.734474,1.669470
MEP41,NX1,HX11,CYP19,OC2,2.842219,1.779210
MEP41,NX2,HX21,CYP79,OC6,2.664413,1.603923
MEP41,NX3,HX31,CYP79,OC4,2.765463,1.699931
MEP41,NX3,HX32,CYP19,OC4,2.734489,1.669621
MEP43,NX1,HX11,CYP17,OC2,2.842980,1.780670
MEP43,NX2,HX21,CYP77,OC6,2.665737,1.601987
MEP43,NX3,HX31,CYP77,OC4,2.764425,1.699099
MEP43,NX3,HX32,CYP17,OC4,2.734193,1.670130
MEP45,NX1,HX11,CYP15,OC2,2.843183,1.780402
MEP45,NX2,HX21,CYP75,OC6,2.664891,1.603651
MEP45,NX3,HX31,CYP75,OC4,2.764251,1.700419
MEP45,NX3,HX32,CYP15,OC4,2.735806,1.670781
MEP47,NX1,HX11,CYP13,OC2,2.840854,1.778287
MEP47,NX2,HX21,CYP73,OC6,2.665413,1.602110
MEP47,NX3,HX31,CYP73,OC4,2.765526,1.699627
MEP47,NX3,HX32,CYP13,OC4,2.733980,1.668629
MEP49,NX1,HX11,CYP11,OC2,2.841979,1.777807
MEP49,NX2,HX21,CYP71,OC6,2.664913,1.602563
MEP49,NX3,HX31,CYP71,OC4,2.764420,1.699095
MEP49,NX3,HX32,CYP11,OC4,2.733195,1.670129
MEP51,NX1,HX11,CYP9,OC2,2.843451,1.780402
MEP51,NX2,HX21,CYP69,OC6,2.663489,1.601611
MEP51,NX3,HX31,CYP69,OC4,2.763794,1.698181
MEP51,NX3,HX32,CYP9,OC4,2.734906,1.671172
MEP53,NX1,HX11,CYP7,OC2,2.843096,1.780524
MEP53,NX2,HX21,CYP67,OC6,2.664312,1.601945
MEP53,NX3,HX31,CYP67,OC4,2.765461,1.700619
MEP53,NX3,HX32,CYP7,OC4,2.733985,1.669428
MEP55,NX1,HX11,CYP5,OC2,2.843045,1.779042
MEP55,NX2,HX21,CYP65,OC6,2.663997,1.601624
MEP55,NX3,HX31,CYP65,OC4,2.764161,1.698514
MEP55,NX3,HX32,CYP5,OC4,2.735194,1.670255
MEP57,NX1,HX11,CYP3,OC2,2.840672,1.779200
MEP57,NX2,HX21,CYP63,OC6,2.664301,1.601608
MEP57,NX3,HX31,CYP63,OC4,2.763799,1.698592
MEP57,NX3,HX32,CYP3,OC4,2.734475,1.669859
MEP59,NX1,HX11,CYP1,OC2,2.842215,1.779207
MEP59,NX2,HX21,CYP61,OC6,2.664312,1.601788
MEP59,NX3,HX31,CYP61,OC4,2.764463,1.699625
MEP59,NX3,HX32,CYP1,OC4,2.735624,1.670417
