donor_residue,donor_atom,hydrogen_atom,acceptor_residue,acceptor_atom,donor_acceptor_distance_A,hydrogen_acceptor_distance_A
CYP1,N3,HN3,MEP59,N6,2.755167,1.686364
CYP1,N5,HN5,MEP179,N4,2.678073,1.608883
CYP3,N3,HN3,MEP57,N6,2.756301,1.685193
CYP3,N5,HN5,MEP177,N4,2.677587,1.608355
CYP5,N3,HN3,MEP55,N6,2.756025,1.686132
CYP5,N5,HN5,MEP175,N4,2.678324,1.608480
CYP7,N3,HN3,MEP53,N6,2.755318,1.685160
CYP7,N5,HN5,MEP173,N4,2.678549,1.608923
CYP9,N3,HN3,MEP51,N6,2.754570,1.685198
CYP9,N5,HN5,MEP171,N4,2.678586,1.609355
CYP11,N3,HN3,MEP49,N6,2.754031,1.685119
CYP11,N5,HN5,MEP169,N4,2.677807,1.607410
CYP13,N3,HN3,MEP47,N6,2.755816,1.686526
CYP13,N5,HN5,MEP167,N4,2.679032,1.610275
CYP15,N3,HN3,MEP45,N6,2.754937,1.683833
CYP15,N5,HN5,MEP165,N4,2.678586,1.609314
CYP17,N3,HN3,MEP43,N6,2.755047,1.685160
CYP17,N5,HN5,MEP163,N4,2.679517,1.610479
CYP19,N3,HN3,MEP41,N6,2.755675,1.686017
CYP19,N5,HN5,MEP161,N4,2.678551,1.608924
CYP21,N3,HN3,MEP39,N6,2.752706,1.683346
CYP21,N5,HN5,MEP159,N4,2.678590,1.609316
CYP23,N3,HN3,MEP37,N6,2.755032,1.685145
CYP23,N5,HN5,MEP157,N4,2.677297,1.607412
CYP25,N3,HN3,MEP35,N6,2.756175,1.686015
CYP25,N5,HN5,MEP155,N4,2.678161,1.608039
CYP27,N3,HN3,MEP33,N6,2.754938,1.683833
CYP27,N5,HN5,MEP153,N4,2.678590,1.607316
CYP29,N3,HN3,MEP31,N6,2.756037,1.687135
CYP29,N5,HN5,MEP151,N4,2.678661,1.609634
