q_Ainv,d_A,intensity,intensity_norm
0.65,9.66643893412244,648.8874773644171,0.10192297140150051
0.655,9.5926493239383,635.298543586243,0.09978851117971403
0.66,9.519977738150887,626.2251176335977,0.09836331718823602
0.665,9.448398958164791,620.5829775080696,0.09747708697619185
0.67,9.377888518178487,617.3110268489373,0.09696315051557101
0.675,9.30842267730309,615.4747475966808,0.09667471986427675
0.68,9.239978392911155,614.3544099011335,0.09649874459755241
0.685,9.17253329515268,613.5125692535308,0.09636651381295053
0.69,9.10606566257911,612.8370252661412,0.0962604038125128
0.695,9.04055439881955,612.5572132076259,0.0962164527771905
0.7,8.975979010256552,613.2338292153994,0.09632273116352984
0.705,8.912319584651895,615.7232386816878,0.09671375120735887
0.71,8.849556770675473,621.1197816319684,0.09756140463260676
0.715,8.787671758293127,630.6803828490392,0.099063120906107
0.72,8.726646259971648,645.736833004296,0.10142808893541068
0.725,8.666462492661498,667.6016888937344,0.10486247649759443
0.73,8.607103160519982,697.4739297268783,0.10955461135046873
0.735,8.548551438339572,736.3503104795946,0.11566105720106057
0.74,8.49079095564809,784.9478034638624,0.12329443133818917
0.745,8.43380578144911,843.6416659319444,0.132513676699613
0.75,8.377580409572781,912.422580675716,0.1433173297996426
0.755,8.322099744608723,990.8750649056288,0.15564012933804616
0.76,8.267349088394193,1078.1780125277244,0.16935310137735135
0.765,8.213314127032138,1173.1269090639894,0.18426704871622854
0.77,8.159980918415046,1274.1760152101328,0.20013917680492718
0.775,8.107335880231725,1379.4977238985575,0.2166824171618047
0.78,8.055365778435366,1487.055413792283,0.2335768707203421
0.785,8.004057716152339,1594.6854913129896,0.2504826944505842
0.79,7.953399123012134,1700.18395875038,0.26705369890762426
0.795,7.9033777448799825,1801.3927754923607,0.28295091328487043
0.8,7.853981633974483,1896.2814838159632,0.2978554066556994
0.805,7.8051991393535225,1983.0200253462313,0.3114797255032527
0.81,7.757018897752575,2060.0393413026427,0.3235774124080346
0.815,7.709429824760229,2126.0771806896137,0.3339502012967853
0.82,7.662421106316569,2180.20748024406,0.3424526322511495
0.825,7.615982190520711,2221.852669284821,0.3489939842723841
0.83,7.570102779734442,2250.779232688497,0.3535375783428254
0.835,7.524772822969565,2267.077780501384,0.3560976468917919
0.84,7.479982508547127,2271.1296740148023,0.3567340916392965
0.845,7.435722257017262,2263.5629051563724,0.35554555342140387
0.85,7.391982714328925,2245.2003891399677,0.35266129034022786
0.855,7.348754745239282,2217.0040916530775,0.3482324016304978
0.86,7.306029426953008,2180.01846586089,0.34242294311668114
0.865,7.263798042982181,2135.3165275383344,0.33540145704987157
0.87,7.222052077217915,2083.9515660734405,0.3273333871902256
0.875,7.180783208205241,2026.9170017848921,0.31837477345878185
0.88,7.139983303613167,1965.116290374333,0.30866752472703707
0.885,7.099644414892188,1899.3440830733036,0.2983364595769054
0.89,7.059758772111895,1830.2791186594548,0.28748818982543806
0.895,7.020318778971604,1758.4885938714392,0.2762118070008111
0.9,6.981317007977318,1684.4430726961261,0.2645812241949693
0.905,6.942746195778548,1608.540389220415,0.25265893056616595
0.91,6.904599238658886,1531.1365039440723,0.24050083804536504
0.915,6.866869188174411,1452.5809129726415,0.2281618431790601
0.92,6.829549246934333,1373.2539983614208,0.21570169387531876
0.925,6.792632764518471,1293.6036523100706,0.20319074209106636
0.93,6.7561132335264364,1214.1786054212034,0.19071517881544695
0.935,6.719984285753568,1135.6561291184973,0.1783813853832136
0.94,6.684239688488922,1058.862146529519,0.16631909235975298
0.945,6.64887334093078,984.7822505795514,0.15468311019069914
0.95,6.613879270715354,914.5626640822861,0.14365348000665634
0.955,6.579251630554541,849.5007527828565,0.13343398347447938
0.96,6.544984694978736,791.0252860866758,0.12424904228256134
0.965,6.511072857180919,740.6671997763028,0.11633912574095433
0.97,6.477510625958336,700.0221209362137,0.10995486444336174
0.975,6.444292622748294,670.7063419743572,0.10535013495639714
0.98,6.41141357875468,654.3082575299112,0.10277443184888897
0.985,6.378868332162017,652.3374906656987,0.10246487676923786
0.99,6.346651825433925,666.174025117112,0.10463822847409017
0.995,6.314759102693052,697.0196273651346,0.10948325252750038
1.0,6.283185307179586,745.8536914414613,0.11715378569372328
1.005,6.251925678785659,813.3953823616001,0.12776278967700744
1.01,6.220975551662956,900.0736080152692,0.1413776345039022
1.015,6.19033035190107,1006.0059356512512,0.1580167868635539
1.02,6.159985595274104,1130.9871122833513,0.1776480069686777
1.025,6.129936885053255,1274.4873745976402,0.2001880830869183
1.03,6.100179909883093,1435.660269657711,0.22550405996572478
1.035,6.070710441719408,1613.3592780487438,0.253415849886341
1.04,6.041524333826525,1806.1621586427884,0.2837000565792029
1.045,6.0126175188321405,2012.4016376781547,0.3160947956624119
1.05,5.983986006837701,2230.2008583087495,0.3503052628234762
1.055,5.955625883582546,2457.511898687659,0.38600978398620095
1.06,5.927533308659987,2692.155659589929,0.4228660805957771
1.065,5.899704513783649,2931.861513166632,0.46051749738394504
1.07,5.8721358011024165,3174.3052835618105,0.49859896811416565
1.075,5.844823541562406,3417.1443835909427,0.536742534619665
1.08,5.817764173314432,3658.049241008063,0.5745822830345019
1.085,5.790954200165517,3894.730491484961,0.6117586150876486
1.09,5.764390190073015,4124.961769888576,0.6479218280067416
1.095,5.738068773679988,4346.598272974761,0.6827350302237652
1.1,5.711986642890532,4557.5915724909755,0.7158764681196642
1.105,5.686140549483788,4756.001407632242,0.7470413783056605
1.11,5.6605273037653925,4940.00536330169,0.775943507820679
1.115,5.635143773255234,5107.907433956267,0.8023164592838314
1.12,5.609986881410344,5258.146475815977,0.8259150185117766
1.125,5.585053606381854,5389.305462745424,0.8465166083716348
1.13,5.560340979804944,5500.122289156174,0.8639229856297441
1.135,5.535846085620781,5589.5026186113755,0.877962259125853
1.14,5.511566058929462,5656.534976381875,0.8884912604124363
1.145,5.487498084873001,5700.507949092133,0.8953982453618
1.15,5.463639397547467,5720.929008763859,0.8986058509228807
1.155,5.439987278943365,5717.544147347576,0.8980741791841516
1.16,5.416539057913437,5690.35721631171,0.8938038351089076
1.165,5.393292109167026,5639.6476372358775,0.8858387083986173
1.17,5.370243852290245,5565.985003368155,0.8742682670093738
1.175,5.347391750791137,5470.239043652229,0.8592291222356567
1.18,5.324733311169141,5353.58347873815,0.8409056343871061
1.185,5.30226608200809,5217.492465154205,0.8195293542624585
1.19,5.27998765309209,5063.728594236386,0.7953771381004269
1.195,5.257895654543587,4894.321774673113,0.7687678305889032
1.2,5.235987755982989,4711.538763231778,0.7400574789521542
1.205,5.2142616657092,4517.8435934872705,0.7096331173561128
1.21,5.192715129900485,4315.84965909833,0.6779052404650038
1.215,5.17134593183505,4108.264705793679,0.6452991631448067
1.22,5.150151891130808,3897.8304435088007,0.6122455351354127
1.225,5.129130863003743,3687.258877142619,0.5791703403052059
1.23,5.108280737544379,3479.1677445249434,0.5464847556721926
1.235,5.08759943901181,3276.0176217759827,0.5145752723280945
1.24,5.067084925144828,3080.05329424314,0.48379448637122957
1.245,5.046735186489627,2893.2518882482836,0.4544529517829741
1.25,5.026548245743669,2717.2800160058396,0.42681244903373944
1.255,5.006522157115208,2553.461812863512,0.4010809645832487
1.26,4.9866550056980845,2402.759260266825,0.3774096001413996
1.265,4.966944906861333,2265.7656146537524,0.35589154052230954
1.27,4.947390005653218,2142.71213287835,0.3365631100295666
1.275,4.927988476219284,2033.4876339261764,0.3194068450816555
1.28,4.908738521234052,1937.6698018607485,0.3043564110726266
1.285,4.889638371345982,1854.5665531773227,0.2913031000835848
1.29,4.870686284635338,1783.2652975760866,0.28010356844051293
1.295,4.851880546084623,1722.6875444579862,0.2705884139430008
1.3,4.83321946706122,1671.6460714135058,0.26257115551395366
1.305,4.8147013848119435,1628.9017906618076,0.25585716540533215
1.31,4.79632466196915,1593.2175305939231,0.2502521168487546
1.315,4.778087686068127,1563.406188318514,0.24556954754025417
1.32,4.7599888690754435,1538.371091796749,0.24163719945860265
1.325,4.7420266469279895,1517.1369142501785,0.23830187469689817
1.33,4.724199479082396,1498.8700788685057,0.23543264049967766
1.335,4.706505848074596,1482.888242430247,0.23292231888759127
1.34,4.688944259089244,1468.6591126321762,0.2306873008913008
1.345,4.671513239538726,1455.7894948605458,0.22866582609044026
1.35,4.654211338651545,1444.0060403466027,0.2268149586606763
1.355,4.637037127069806,1433.1296435122463,0.22510656587738187
1.36,4.6199891964555775,1423.045782351084,0.22352265937802954
1.365,4.603066159105924,1413.6732904868115,0.22205049008278738
1.37,4.58626664757634,1404.9340811665645,0.2206777926387912
1.375,4.569589314312426,1396.7262102457612,0.21938855433120952
1.38,4.553032831289555,1388.902376059188,0.21815963798459256
1.385,4.536595889660351,1381.255527789225,0.21695852142013566
1.39,4.520277199409775,1373.5127182423007,0.2157423318902902
1.395,4.504075489017625,1365.3377266669322,0.21445825805374757
1.4,4.487989505128276,1356.3423321924965,0.213045320732955
1.405,4.472018012227464,1346.1054808691902,0.21143738354651923
1.41,4.4561597923259475,1334.1990011179753,0.20956719212272312
1.415,4.440413644649884,1320.218022661076,0.2073711521047906
1.42,4.424778385337737,1303.8138762128488,0.20479449681765255
1.425,4.409252847143569,1284.7270211927698,0.20179645933624257
1.43,4.393835879146564,1262.81748289497,0.19835505335562967
1.435,4.378526346466611,1238.090384800744,0.1944710836385126
1.44,4.363323129985824,1210.714430958705,0.1901710491057704
1.445,4.348225126075838,1181.0316117406962,0.18550866735267957
1.45,4.333231246330749,1149.5569481781574,0.18056483449095387
1.455,4.318340417305557,1116.967721622648,0.17544593341475265
1.46,4.303551580259991,1084.0823166663693,0.17028051058597582
1.465,4.288863690907567,1051.829492508019,0.16521444938278976
1.47,4.274275719169786,1021.20954680869,0.16040486997388476
1.475,4.259786648935313,993.2494040894381,0.15601307489975091
1.48,4.245395477824045,968.9541101185229,0.1521969301304815
1.485,4.23110121695595,949.2575139057445,0.1491031185182496
1.49,4.216902890724555,934.9750483920182,0.14685972289901048
1.495,4.2027995365749735,926.761468798968,0.14556958791078933
1.5,4.1887902047863905,925.0761743373467,0.1453048729560292
1.505,4.174873958258861,930.1583364308339,0.14610314550678974
1.51,4.161049872304361,942.0135074145086,0.1479652776872978
1.515,4.147317034441971,960.4127198671392,0.15085530480299514
1.52,4.133674544197096,984.9043478878059,0.15470228843175254
1.525,4.120121512904647,1014.8382323886682,0.1594041058659697
1.53,4.106657063516069,1049.4008198860893,0.16483296948246254
1.535,4.093280330410154,1087.6593748670084,0.17084237132979244
1.54,4.079990459207523,1128.612742758637,0.17727505664122342
1.545,4.066786606588729,1171.2457009845705,0.18397156094066278
1.55,4.053667940115862,1214.5836683726013,0.1907788034361267
1.555,4.040633638057612,1257.744466984748,0.19755821742710006
1.56,4.027682889217683,1299.9839526567478,0.20419291764915953
1.565,4.014814892766509,1340.7326467300431,0.21059345414517905
1.57,4.002028858076169,1379.6209955878785,0.2167017798669016
1.575,3.9893240045584677,1416.491529903516,0.22249316056956892
1.58,3.976699561506067,1451.3969560288447,0.22797587501981414
1.585,3.9641547679366473,1484.584044641142,0.23318868433040377
1.59,3.9516888724399912,1516.464038963605,0.2381961838784087
1.595,3.939301133027954,1547.57113705994,0.24308228197747225
1.6,3.9269908169872414,1578.5113613620458,0.2479421686399614
1.605,3.914757200734945,1609.9047689979013,0.25287323835587144
1.61,3.9025995696767612,1642.3244402798432,0.25796550680638386
1.615,3.8905172180678553,1676.2359800613172,0.26329210813542586
1.62,3.8785094488762875,1711.9413579735794,0.2689004737439172
1.625,3.866575573648976,1749.5307905360862,0.27480477424857214
1.63,3.8547149123801145,1788.846034304334,0.28098015381131214
1.635,3.8429267933820097,1829.4579296594175,0.28735920286562494
1.64,3.8312105531582845,1870.6603353774678,0.2938310053986787
1.645,3.819565536279384,1911.4817598754676,0.3002429659108115
1.65,3.8079910952603555,1950.715068541127,0.30640547564725773
1.655,3.7964865904408374,1986.9646754492112,0.3120993251621457
1.66,3.785051389867221,2018.7096622350386,0.31708561861544937
1.665,3.7736848691769285,2044.3803570506236,0.3211178022910732
1.67,3.7623864114847825,2062.445099801403,0.3239552931088057
1.675,3.7511554072713946,2071.503258577925,0.3253780890328072
1.68,3.7399912542735634,2070.3800814684987,0.325201667769651
1.685,3.728893357376609,2058.2186939358116,0.3232914371103521
1.69,3.717861128508631,2034.5645006758884,0.3195759922185057
1.695,3.706893986536629,1999.4374275020073,0.314058462909631
1.7,3.6959913571644627,1953.3878374592596,0.30682529658618557
1.705,3.6851526728326016,1897.5325596263856,0.2980519174044731
1.71,3.674377372619641,1833.568252752553,0.28800482534669697
1.715,3.663664902145531,1763.7602545183083,0.27703984473630816
1.72,3.653014713476504,1690.9060996816552,0.2655963939086595
1.725,3.642426265031644,1618.2739809083469,0.25418781904352183
1.73,3.6318990214910905,1549.5175264299287,0.24338800800087976
1.735,3.6214324537058133,1488.569330277345,0.23381466675123172
1.74,3.6110260386089577,1439.5166470332229,0.22610979432594722
1.745,3.6006792591287025,1406.4635110632214,0.22091802541420352
1.75,3.5903916041026207,1393.3842229595307,0.21886361697846207
1.755,3.5801625681934968,1403.973633592371,0.22052693185930017
1.76,3.5699916518065833,1441.4999272209793,0.22642131491604844
1.765,3.5598783610082645,1508.6656472015316,0.23697126386026954
1.77,3.549822207446094,1607.482518109019,0.2524927671390781
1.775,3.5398227082701896,1739.165203222913,0.2731766160606973
1.78,3.5298793860559474,1904.0485120820047,0.2990754003024404
1.785,3.5199917687280595,2101.5317633147597,0.3300947687905264
1.79,3.510159389485802,2330.0530446225252,0.36598938662776515
1.795,3.500381786729575,2587.0950320441007,0.40636384914531026
1.8,3.490658503988659,2869.222876342575,0.45067863284678605
1.805,3.4809890898501865,3172.153480222073,0.49826097701723693
1.81,3.471373097889274,3490.85432187908,0.5483204062757226
1.815,3.461810086600323,3819.6688732196276,0.5999684304428748
1.82,3.452299619329443,4152.464657659389,0.6522418004850346
1.825,3.4428412642079924,4482.799131506753,0.7041285640694182
1.83,3.4334345940872053,4804.097887826151,0.7545960566533265
1.835,3.424079186473889,5109.839199017147,0.8026198882170792
1.84,3.4147746234671663,5393.738653074869,0.8472129447117976
1.845,3.4055204916962527,5649.927609151643,0.8874534186837264
1.85,3.3963163822592355,5873.11940232054,0.9225109156238739
1.855,3.3871618906628496,6058.757658108821,0.9516697502381338
1.86,3.3780566167632182,6203.141718473407,0.9743486475334622
1.865,3.369000164707553,6303.525008324448,0.9901161935835614
1.87,3.359992142876784,6358.183154064683,0.9987015351404186
1.875,3.3510321638291125,6366.4497653653,1.0
1.88,3.342119844244461,6328.718966277174,0.9940734945725342
1.885,3.333254804869807,6246.414966404031,0.9811457243227958
1.89,3.32443667046539,6121.930150513174,0.9615924692938977
1.895,3.3156650697517605,5958.534289410598,0.9359273235494859
1.9,3.306939635357677,5760.2584923085415,0.9047834671759205
1.905,3.2982600037688115,5531.7583915789055,0.8688921762444001
1.91,3.2896258152772706,5278.16174086987,0.8290588845268325
1.915,3.2810367139318988,5004.906090497503,0.7861376866154111
1.92,3.272492347489368,4717.5724616997495,0.7410052125698443
1.925,3.263992367366019,4421.720964922046,0.6945348079202714
1.93,3.2555364285904593,4122.734097687431,0.6475719199287318
1.935,3.247124189756892,3825.673025423591,0.6009115231280048
1.94,3.238755312979168,3535.1515138640752,0.5552783174534689
1.945,3.2304294638455455,3255.231372809955,0.5113103052377848
1.95,3.222146311374147,2989.34232394591,0.46954620457519386
1.955,3.213905527969098,2740.2281615997067,0.43041699260819904
1.96,3.20570678937734,2509.919980281266,0.39424170028572425
1.965,3.1975497746460997,2299.7361438648277,0.36122740752245164
1.97,3.1894341660810084,2110.307615457888,0.33147322184781286
1.975,3.1813596492048535,1941.6262989976549,0.3049778715855848
1.98,3.1733259127169626,1793.1132036665,0.2816504126713412
1.985,3.165332648453192,1663.7025642821184,0.26132344172932576
1.99,3.157379551346526,1551.937561061451,0.2437681311025632
1.995,3.1494663193882637,1456.0729977663652,0.22871035685974936
2.0,3.141592653589793,1374.1802257109132,0.21584717956728655
2.005,3.133758257944931,1304.2497399732295,0.2048629594265546
2.01,3.1259628393928294,1244.2872112183418,0.19544444032017677
2.015,3.118206107781432,1192.399230575593,0.18729421805265348
2.02,3.110487775831478,1146.865706923937,0.1801421120391313
2.025,3.1028075591010302,1106.1966302633975,0.17375408132195092
2.03,3.095165175950535,1069.1717616066144,0.16793845879741526
2.035,3.087560347508396,1034.862686544324,0.16254941524461158
