9.828	1.518
9.797	1.879
9.641	2.257
9.498	2.230
9.446	1.902
9.398	1.640
9.269	1.535
9.108	1.703
8.956	1.603
8.835	1.597
8.775	1.335
8.735	1.118
8.689	0.849
8.604	0.633
8.534	0.979
8.451	1.243
8.459	1.348
8.328	0.975
8.283	0.918
8.230	1.171
8.206	1.373
8.183	1.594
8.154	1.859
8.074	2.179
7.979	2.175
7.930	2.443
7.897	2.695
7.862	2.918
7.833	3.200
7.801	3.495
7.769	3.738
7.707	3.971
7.636	4.180
7.580	4.399
7.497	4.612
7.424	4.805
7.391	5.029
7.325	5.267
7.256	5.100
7.211	4.870
7.166	4.639
7.135	4.401
7.109	4.154
7.083	3.931
7.057	3.695
7.031	3.459
7.010	3.236
6.993	3.025
6.971	2.767
6.950	2.504
6.930	2.259
6.905	1.984
6.880	1.712
6.860	1.476
6.843	1.269
6.827	1.053
6.807	0.804
6.755	0.519
6.702	0.509
6.627	0.547
6.567	0.435
6.501	0.160
6.432	0.258
6.389	0.497
6.361	0.737
6.333	0.970
6.309	1.200
6.289	1.430
6.265	1.682
6.234	1.924
6.204	2.134
6.178	2.366
6.151	2.607
6.122	2.864
6.084	3.097
6.052	3.325
6.031	3.583
6.017	3.841
6.002	4.089
5.983	4.348
5.955	4.584
5.922	4.798
5.898	5.003
5.880	5.223
5.862	5.433
5.841	5.680
5.797	5.824
5.754	5.926
5.734	6.229
5.695	6.437
5.634	6.399
5.577	6.517
5.542	6.203
5.526	5.938
5.508	5.710
5.484	5.522
5.461	5.311
5.443	5.102
5.425	4.869
5.403	4.607
5.378	4.363
5.353	4.162
5.331	3.952
5.309	3.724
5.287	3.503
5.265	3.269
5.244	3.040
5.225	2.828
5.204	2.595
5.183	2.398
5.167	2.151
5.155	1.913
5.144	1.656
5.128	1.403
5.103	1.189
5.076	0.967
5.041	0.734
4.998	0.685
4.925	0.030
4.852	0.034
4.808	0.038
4.778	0.192
4.751	0.617
4.718	0.865
4.684	0.957
4.665	1.266
4.655	1.532
4.648	1.761
4.641	1.987
4.633	2.228
4.624	2.495
4.617	2.764
4.610	3.026
4.602	3.285
4.597	3.497
4.588	3.761
4.577	4.026
4.566	4.328
4.559	4.603
4.553	4.921
4.547	5.210
4.543	5.498
4.539	5.757
4.532	6.078
4.527	6.494
4.520	6.998
4.524	6.698
4.513	7.527
4.517	7.249
4.506	8.028
4.510	7.741
4.500	8.485
4.503	8.232
4.494	8.896
4.487	9.287
4.480	9.685
4.472	10.077
4.465	10.416
4.461	10.629
4.454	10.914
4.448	11.225
4.441	11.524
4.434	11.817
4.427	12.163
4.422	12.415
4.401	12.750
4.401	12.856
4.378	12.501
4.368	12.252
4.360	12.027
4.351	11.799
4.342	11.524
4.334	11.301
4.326	11.020
4.318	10.743
4.313	10.529
4.309	10.301
4.303	10.025
4.298	9.668
4.293	9.340
4.289	9.112
4.286	8.867
4.283	8.645
4.279	8.377
4.274	8.085
4.269	7.773
4.265	7.527
4.259	7.229
4.252	6.934
4.246	6.692
4.240	6.416
4.233	6.105
4.230	5.882
4.226	5.659
4.221	5.351
4.218	5.085
4.214	4.856
4.209	4.574
4.204	4.311
4.198	4.056
4.192	3.794
4.186	3.515
4.180	3.175
4.174	2.866
4.167	2.602
4.159	2.351
4.152	2.100
4.144	1.850
4.138	1.574
4.132	1.328
4.125	1.112
4.118	0.869
4.109	0.643
4.101	0.425
4.081	0.109
4.073	0.041
4.041	0.037
4.009	0.107
3.990	0.254
3.979	0.468
3.969	0.704
3.958	0.962
3.943	1.245
3.927	1.470
3.918	1.745
3.913	1.963
3.909	2.230
3.904	2.609
3.899	2.988
3.893	3.421
3.896	3.158
3.889	3.731
3.883	4.039
3.871	4.364
3.857	4.569
3.846	4.878
3.840	5.127
3.836	5.393
3.831	5.665
3.825	6.076
3.821	6.367
3.816	6.652
3.811	6.898
3.795	7.118
3.768	6.978
3.750	6.755
3.742	6.489
3.732	6.269
3.722	6.065
3.713	5.777
3.706	5.486
3.702	5.188
3.698	4.856
3.693	4.662
3.688	4.384
3.682	4.107
3.678	3.816
3.674	3.507
3.670	3.187
3.666	3.000
3.662	2.751
3.657	2.518
3.651	2.259
3.646	1.941
3.641	1.687
3.635	1.409
3.628	1.142
3.621	0.902
3.608	0.706
3.594	0.470
3.575	0.329
3.553	0.418
3.538	0.677
3.532	0.981
3.529	1.302
3.524	1.744
3.526	1.466
3.520	2.162
3.516	2.543
3.512	2.848
3.507	3.121
3.500	3.385
3.493	3.633
3.488	3.892
3.484	4.193
3.480	4.559
3.476	4.930
3.473	5.256
3.469	5.582
3.465	5.992
3.461	6.428
3.457	6.773
3.454	7.143
3.450	7.615
3.452	7.327
3.446	7.989
3.442	8.353
3.438	8.690
