block_pair,contact_count,GLU_involved_count,GLU_GLU_count,min_distance_A
1--1,57,43,14,1.333753
1--2,44,30,15,3.372403
2--2,57,43,14,1.333459
2--3,13,0,0,3.895853
3--3,57,43,14,1.332728
3--4,44,30,15,3.372847
4--4,57,43,14,1.333183
4--5,13,0,0,3.896249
5--5,57,43,14,1.334011
