block_pair,contact_count,GLU_involved_count,GLU_GLU_count,min_distance_A
2--2,14,0,0,3.401582
4--4,14,0,0,3.401886
6--6,14,0,0,3.401520
hexad_or_other--hexad_or_other,42,0,0,3.398354
scaffold--hexad_or_other,174,0,0,2.663088
