rank,model_id,twist_deg,rise_A,score_status,observed_peak_count,expected_peak_count,missing_peak_count,score_completeness,base_rmsd,helical_rmsd,combined_rmsd,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A,notes,source_pdb,output_xyz,source_atom_count,source_heavy_atom_count,removed_atom_count,removed_heavy_atom_count,skipped_retained_hydrogen_count,duplicate_heavy_atom_count,retained_atom_count,stripping_rule,status
1,angle27_cand13,27,3.4,scored,5,5,0,1.000000000,0.016294279,0.083121842,0.074702699,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/27/cand13/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle27_cand13.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
2,angle27_cand16,27,3.4,scored,5,5,0,1.000000000,0.016294279,0.083121842,0.074702699,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/27/cand16/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle27_cand16.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
3,angle27_cand18,27,3.4,scored,5,5,0,1.000000000,0.016294279,0.083121842,0.074702699,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/27/cand18/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle27_cand18.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
4,angle27_cand19,27,3.4,scored,5,5,0,1.000000000,0.016294279,0.083121842,0.074702699,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/27/cand19/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle27_cand19.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
5,angle32_cand4,32,3.4,scored,5,5,0,1.000000000,0.016294279,0.086136583,0.077386752,3.363705721,3.738296311,4.290872040,5.534749550,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/32/cand4/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle32_cand4.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
6,angle32_cand2,32,3.4,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/32/cand2/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle32_cand2.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
7,angle30_cand10,30,3.4,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/30/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle30_cand10.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
8,angle31_cand10,31,3.4,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/31/cand10/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle31_cand10.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
9,angle31_cand12,31,3.4,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/31/cand12/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle31_cand12.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
10,angle31_cand13,31,3.4,scored,5,5,0,1.000000000,0.016294279,0.098397704,0.088310743,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938,"retained_atom_count is the heavy-atom XYZ count after stripping, hydrogen exclusion, and exact-coordinate deduplication",inputs/asem_sidechains_20260625/raw/31/cand13/initial.pdb,outputs/asem_sidechains_20260625/stage2_top5_no_glu_ablation/xyz/angle31_cand13.xyz,3810,2310,576,384,1308,0,1926,"GLU atoms CG,HG2,HG3,CD,OE1,OE2 removed; all other residues/atoms preserved",complete
