model_id,twist_deg,rise_A,with_glu_base_rmsd,no_glu_base_rmsd,delta_base_rmsd,with_glu_helical_rmsd,no_glu_helical_rmsd,delta_helical_rmsd,with_glu_combined_rmsd,no_glu_combined_rmsd,delta_combined_rmsd,with_glu_rank,no_glu_rank,rank_delta,with_glu_observed_A_d_A,no_glu_observed_A_d_A,delta_observed_A_d_A,with_glu_observed_B_d_A,no_glu_observed_B_d_A,delta_observed_B_d_A
angle30_cand3,30,3.4,0.016294279,0.016294279,0.000000000,0.128556287,0.098397704,-0.030158583,0.115214911,0.088310743,-0.026904168,30,22,-8,3.927245421,3.738296311,-0.188949110,4.544773274,4.544773274,0.000000000
angle31_cand0,31,3.4,0.016294279,0.016294279,0.000000000,0.115890922,0.098397704,-0.017493218,0.103911816,0.088310743,-0.015601073,20,16,-4,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle31_cand1,31,3.4,0.016294279,0.016294279,0.000000000,0.115890922,0.098397704,-0.017493218,0.103911816,0.088310743,-0.015601073,21,17,-4,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle31_cand10,31,3.4,0.016294279,0.016294279,0.000000000,0.098397704,0.098397704,0.000000000,0.088310743,0.088310743,0.000000000,10,8,-2,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle31_cand12,31,3.4,0.016294279,0.016294279,0.000000000,0.098397704,0.098397704,0.000000000,0.088310743,0.088310743,0.000000000,11,9,-2,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle31_cand13,31,3.4,0.016294279,0.016294279,0.000000000,0.098397704,0.098397704,0.000000000,0.088310743,0.088310743,0.000000000,12,10,-2,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle32_cand0,32,3.4,0.016294279,0.016294279,0.000000000,0.098397704,0.098397704,0.000000000,0.088310743,0.088310743,0.000000000,15,13,-2,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle32_cand1,32,3.4,0.016294279,0.016294279,0.000000000,0.098397704,0.098397704,0.000000000,0.088310743,0.088310743,0.000000000,13,11,-2,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle32_cand2,32,3.4,0.016294279,0.016294279,0.000000000,0.086136583,0.098397704,0.012261121,0.077386752,0.088310743,0.010923991,7,6,-1,3.738296311,3.738296311,0.000000000,4.290872040,4.544773274,0.253901234
angle32_cand3,32,3.4,0.016294279,0.016294279,0.000000000,0.098397704,0.098397704,0.000000000,0.088310743,0.088310743,0.000000000,14,12,-2,3.738296311,3.738296311,0.000000000,4.544773274,4.544773274,0.000000000
angle32_cand4,32,3.4,0.016294279,0.016294279,0.000000000,0.086136583,0.086136583,0.000000000,0.077386752,0.077386752,0.000000000,8,5,-3,3.738296311,3.738296311,0.000000000,4.290872040,4.290872040,0.000000000
