model_id,target_label,observed_d_A,observed_intensity,target_d_A,delta_d_A,window_min_d_A,window_max_d_A,peak_status
angle27_cand18,D,7.326059938,3504437.169650462,7.300000000,0.026059938,7.100000000,7.500000000,found
angle27_cand19,base,3.363705721,10262972.246730458,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle27_cand19,A,3.679471161,2677656.180092006,3.800000000,-0.120528839,3.600000000,4.000000000,found
angle27_cand19,B,4.290872040,3053796.383125433,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle27_cand19,C,5.672841394,6075498.877718603,5.650000000,0.022841394,5.450000000,5.850000000,found
angle27_cand19,D,7.326059938,3615683.172262399,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand16,base,3.363705721,10445151.153378308,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand16,A,3.927245421,2714975.920043350,3.800000000,0.127245421,3.600000000,4.000000000,found
angle28_cand16,B,4.290872040,2550807.453769759,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand16,C,5.534749550,6338386.697707707,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand16,D,7.326059938,3539217.325362749,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand24,base,3.363705721,10457986.314260963,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand24,A,3.927245421,2823533.206074363,3.800000000,0.127245421,3.600000000,4.000000000,found
angle28_cand24,B,4.290872040,2543873.747947298,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand24,C,5.534749550,6708134.036476440,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand24,D,7.326059938,3567659.678777826,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand25,base,3.363705721,10459048.225614488,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand25,A,3.927245421,2937478.372328357,3.800000000,0.127245421,3.600000000,4.000000000,found
angle28_cand25,B,4.290872040,2365547.511142287,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand25,C,5.534749550,7040944.604373585,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand25,D,7.326059938,3267825.644395606,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand27,base,3.363705721,10251774.136332821,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand27,A,3.927245421,3074911.833336609,3.800000000,0.127245421,3.600000000,4.000000000,found
angle28_cand27,B,4.290872040,2123554.747625725,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand27,C,5.534749550,6432624.634074939,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand27,D,7.326059938,2950445.566891103,7.300000000,0.026059938,7.100000000,7.500000000,found
angle28_cand28,base,3.363705721,10371031.004510760,3.380000000,-0.016294279,3.180000000,3.580000000,found
angle28_cand28,A,3.927245421,2988576.704990196,3.800000000,0.127245421,3.600000000,4.000000000,found
angle28_cand28,B,4.290872040,2133076.799091023,4.400000000,-0.109127960,4.200000000,4.600000000,found
angle28_cand28,C,5.534749550,6342009.145463457,5.650000000,-0.115250450,5.450000000,5.850000000,found
angle28_cand28,D,7.326059938,2942744.639362160,7.300000000,0.026059938,7.100000000,7.500000000,found
