model_id,observed_base_d_A,observed_A_d_A,observed_B_d_A,observed_C_d_A,observed_D_d_A
angle27_cand10,3.363705721,3.994754549,4.544773274,5.672841394,7.326059938
angle27_cand13,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938
angle27_cand16,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938
angle27_cand18,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938
angle27_cand19,3.363705721,3.679471161,4.290872040,5.672841394,7.326059938
angle28_cand16,3.363705721,3.927245421,4.290872040,5.534749550,7.326059938
angle28_cand24,3.363705721,3.927245421,4.290872040,5.534749550,7.326059938
angle28_cand25,3.363705721,3.927245421,4.290872040,5.534749550,7.326059938
angle28_cand27,3.363705721,3.927245421,4.290872040,5.534749550,7.326059938
angle28_cand28,3.363705721,3.927245421,4.290872040,5.534749550,7.326059938
angle29_cand0,3.363705721,3.927245421,4.544773274,5.534749550,7.326059938
angle29_cand1,3.363705721,3.994754549,4.544773274,5.534749550,7.326059938
angle29_cand11,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle29_cand12,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle29_cand2,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle30_cand0,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle30_cand1,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle30_cand10,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle30_cand2,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle30_cand3,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle31_cand0,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle31_cand1,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle31_cand10,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle31_cand12,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle31_cand13,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle32_cand0,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle32_cand1,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle32_cand2,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle32_cand3,3.363705721,3.738296311,4.544773274,5.534749550,7.326059938
angle32_cand4,3.363705721,3.738296311,4.290872040,5.534749550,7.326059938
